No.,공연명,카테고리,장르,시작일,종료일,공연시설,공연장,객석수(석),지역,제작,기획,주최,주관
134,"제16회 페스티벌 판을 열다, 그려진 그림자",연극,DRAMA,2026.01.14,2026.01.18,놀터예술공방,놀터예술공방,48,서울,극단 놀터,창작집단 난장,극단 놀터,페스티벌 판을열다 운영위원회
135,FRISK with Meltmode,대중음악,BALLAD,2026.01.31,2026.02.01,쉐이프(Shape Seoul),쉐이프(Shape),0,서울,,,프리스크(FRISK),
136,리오아트 아뜰리에 기획연주 시리즈 Ⅱ. 오르간 콘서트 [인천],서양음악(클래식),CHAMBER,2026.01.17,2026.01.17,리오아트 아뜰리에,리오아트 아뜰리에,0,인천,,,리오아트 아뜰리에,리오아트 아뜰리에
137,"제10회 한국뮤지컬어워즈, 대한민국 뮤지컬 페스티벌",뮤지컬,CREATIVE,2026.01.19,2026.01.19,세종문화회관,세종대극장,"3,022",서울,(사)한국뮤지컬협회,,(사)한국뮤지컬협회,
138,우지안 포르테피아노 리사이틀: 모셸레스 프로젝트 2,서양음악(클래식),RECITAL,2026.01.31,2026.01.31,예술의전당 [서울],리사이틀홀,354,서울,이든예술기획(주),,이든예술기획(주),
139,"쌀롱드무지끄, 피아노듀오 매그",서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,쌀롱드무지끄,쌀롱드무지끄,20,서울,,,쌀롱드무지끄,
140,이상웅 Band Concert,대중음악,BALLAD,2026.01.29,2026.01.29,아지토 라이브 홀,라이브 홀 ,0,서울,인 메이트,,인 메이트,인 메이트
141,리틀뮤지션 [천안],뮤지컬,CREATIVE,2026.01.24,2026.02.01,천안어린이꿈누리터 (구. 천안시 어린이 회관),꿈누리대공연장,296,충남,천안어린이꿈누리터,그란디스씨어터,천안어린이꿈누리터,
142,"올모스트, 메인",연극,DRAMA,2026.01.10,2026.01.11,DGT 아트센터,DGT 아트센터,60,서울,디지티컨텐츠공방,,"디지티컨텐츠공방, 독고탁컴퍼니",DGT극단
143,이철옥 아코디언콘서트 with 아코뮤즈,서양음악(클래식),CHAMBER,2026.01.29,2026.01.29,예술의전당 [서울],IBK챔버홀,600,서울,이철옥 아코뮤즈연주단,,이철옥 아코뮤즈연주단,이철옥 아코뮤즈연주단
144,"쌀롱드무지끄, Filmic Baroque",서양음악(클래식),CHAMBER,2026.01.23,2026.01.23,쌀롱드무지끄,쌀롱드무지끄,20,서울,,,쌀롱드무지끄,
145,서울시민과 함께하는 신년음악회: 희망의 서곡,서양음악(클래식),CHAMBER,2026.01.23,2026.01.23,스카이아트홀,스카이아트홀,987,서울,(주)커스텀360,,(주)커스텀360,(주)커스텀360
146,Under the Starlight,서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,쌀롱드무지끄,쌀롱드무지끄,20,서울,,,쌀롱드무지끄,
147,"숲세권 라이브, 유인원 단독 공연: Baobob Tree",대중음악,BALLAD,2026.01.31,2026.01.31,숲세권 라이브,숲세권 라이브,0,서울,숲세권 라이브,,숲세권 라이브,숲세권 라이브
148,정효빈 EP 발매 기념 콘서트: Marigold,대중음악,BALLAD,2026.01.31,2026.01.31,구름아래소극장,구름아래소극장,200,서울,(주) ravex,,"Label A, (주) ravex",Label A
149,잭과 콩나무 [대구],연극,DRAMA,2026.01.28,2026.03.02,대백프라자,레오문화홀,100,대구,(주)교문,,(주)교문,
150,맘마미아! [경주],뮤지컬,CREATIVE,2026.01.30,2026.02.01,경주예술의전당,대공연장(화랑홀),"1,053",경북,"한국수력원자력(주), 경주시청",(주)신시컴퍼니,"한국수력원자력(주), 경주시청","(주)예술기획성우, (재)경주문화재단"
151,무대와 객석이 함께 호흡하는 김종현의 Fifth Grid [대전],대중음악,BALLAD,2026.01.10,2026.01.10,옐로우택시,옐로우택시,50,대전,,,대전재즈협회,대전재즈협회
152,방귀쟁이 며느리 [구미],뮤지컬,CREATIVE,2026.01.31,2026.03.01,롯데마트 어린이소극장 [구미],어린이소극장,184,경북,,극단 돼지,,
153,TIMF 신년음악회 [통영],서양음악(클래식),CHAMBER,2026.01.11,2026.01.11,통영국제음악당,콘서트홀,"1,309",경남,(재)통영국제음악재단,,"통영시청, (재)통영국제음악재단","통영시청, (재)통영국제음악재단"
154,최현아 피아노 독주회 [부산],서양음악(클래식),RECITAL,2026.01.13,2026.01.13,해운대문화회관,고운홀,130,부산,클피랩,,클피랩,클피랩
155,고양호수청소년오케스트라 정기연주회,서양음악(클래식),ORCHESTRA,2026.01.10,2026.01.10,고양아람누리,새라새극장,304,경기,,,고양 호수청소년 오케스트라,
156,"월간연주자, 피아니스트 김유빈 (1월)",서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,갤러리 디 아르테 청담,공연장 (B1) ,0,서울,ARTE WITH (아르테위드),,ARTE WITH (아르테위드),
157,전자양 정규 4집 발매 공연: 합주와 생활,대중음악,BALLAD,2026.02.01,2026.02.01,스페이스브릭 (SPACE BRICK),스페이스브릭 (SPACE BRICK) ,60,서울,하이 피델리티(High Fidelity),,하이 피델리티(High Fidelity),하이 피델리티(High Fidelity)
158,"제2회 심야연극제, 완벽한 가족",연극,DRAMA,2026.01.27,2026.02.01,나인진홀 (구.청년극장),나인진홀 1관,94,서울,유머러스(유머러's),극단 집단독백,"유머러스(유머러's), (주) 나인진엔터테인먼트",유머러스(유머러's)
159,아버지를 조작해봤습니다. 근데 이제 타임루프를 곁들인,연극,DRAMA,2026.01.24,2026.01.24,아일랜드이너프 양재점,아일랜드이너프 양재점,40,서울,,,단가행,단가행
160,김나영 비올라 독주회,서양음악(클래식),RECITAL,2026.02.01,2026.02.01,예술의전당 [서울],리사이틀홀,354,서울,올리뮤직,,올리뮤직,올리뮤직
